"CustomerID";"Age";"Gender";"Location";"MembershipLevel";"TotalPurchases";"TotalSpent";"FavoriteCategory";"LastPurchaseDate";"Occupation";"FrequencyWebsiteVisits";"LoyaltyPoints";"EmailSubscribed";"AverageReviewRating";"Churn"
"27";"26";"Male";"North";"Platinum";"36";"3626.8";"Electronics";"28/7/2023";"Lawyer";"12";"1936";"1";"4.2";"1"
"28";"27";"Male";"South";"Gold";"76";"3646.58";"Electronics";"31/5/2022";"Doctor";"11";"3045";"1";"1.8";"0"
"29";"38";"Male";"West";"Bronze";"48";"9794.73";"Home Goods";"10/8/2022";"Engineer";"8";"2406";"1";"1.2";"0"
"30";"69";"Female";"South";"Silver";"50";"2415.62";"Electronics";"10/1/2022";"Chef";"12";"2471";"0";"1.1";"1"
"31";"34";"Male";"South";"Platinum";"30";"5860.54";"Home Goods";"5/5/2022";"Doctor";"7";"1791";"0";"3.5";"0"
"32";"69";"Male";"East";"Gold";"51";"9218.23";"Clothing";"29/9/2022";"Chef";"11";"4233";"1";"5";"0"
"33";"23";"Male";"East";"Silver";"11";"2854.59";"Home Goods";"26/7/2022";"Chef";"2";"4377";"1";"3.5";"0"
"34";"33";"Female";"South";"Silver";"43";"5311.86";"Clothing";"14/5/2022";"Teacher";"11";"4784";"1";"1.4";"0"
"35";"65";"Male";"West";"Bronze";"27";"7711.66";"Electronics";"6/3/2022";"Manager";"3";"974";"1";"3.4";"0"
"36";"18";"Male";"East";"Platinum";"76";"1983.18";"Clothing";"16/3/2023";"Engineer";"12";"4429";"1";"4";"1"
"37";"36";"Female";"East";"Platinum";"58";"9774.09";"Clothing";"16/4/2022";"Engineer";"7";"115";"0";"2.3";"0"
"38";"53";"Male";"South";"Bronze";"72";"788.73";"Clothing";"23/7/2022";"Teacher";"2";"2994";"0";"4.8";"1"
"39";"42";"Male";"South";"Bronze";"97";"5008.31";"Home Goods";"3/12/2023";"Engineer";"6";"4398";"0";"3.4";"0"
"41";"69";"Female";"East";"Silver";"8";"2045.39";"Electronics";"23/2/2023";"Artist";"11";"649";"0";"1.5";"0"
"42";"47";"Male";"East";"Gold";"56";"6515.36";"Clothing";"8/1/2023";"Lawyer";"1";"1498";"1";"2.3";"0"
"43";"37";"Male";"South";"Silver";"85";"2338.7";"Home Goods";"4/10/2022";"Doctor";"11";"4464";"0";"4";"1"
"44";"37";"Female";"East";"Bronze";"18";"2075.17";"Electronics";"9/7/2022";"Chef";"5";"4179";"0";"2.5";"0"
"45";"32";"Male";"South";"Silver";"75";"4684.48";"Home Goods";"3/9/2023";"Manager";"13";"903";"1";"1.2";"0"
"47";"50";"Male";"South";"Bronze";"71";"8287.77";"Electronics";"23/9/2022";"Chef";"12";"3650";"0";"3.3";"0"
"48";"19";"Male";"South";"Bronze";"57";"4768.92";"Electronics";"28/4/2022";"Lawyer";"3";"2892";"0";"2.4";"1"
"49";"27";"Male";"South";"Bronze";"29";"9275.17";"Home Goods";"17/7/2022";"Artist";"2";"1975";"1";"3.8";"0"
"50";"50";"Male";"North";"Bronze";"17";"4524.97";"Clothing";"10/12/2023";"Chef";"14";"2689";"1";"3.8";"0"
"51";"49";"Male";"South";"Bronze";"62";"7172.97";"Electronics";"15/2/2022";"Artist";"1";"3655";"1";"1.3";"1"
"52";"28";"Male";"South";"Bronze";"69";"4914.92";"Electronics";"24/6/2023";"Doctor";"6";"1073";"1";"1.5";"0"
"53";"41";"Female";"South";"Silver";"70";"5488.84";"Electronics";"25/2/2022";"Engineer";"14";"4621";"0";"3";"0"
"54";"53";"Male";"North";"Platinum";"89";"8234.83";"Electronics";"7/4/2022";"Doctor";"1";"3028";"1";"1.7";"0"
"55";"29";"Male";"North";"Silver";"45";"7129.32";"Home Goods";"15/2/2023";"Lawyer";"4";"1268";"1";"3.2";"1"
"56";"68";"Female";"West";"Gold";"55";"4233.69";"Home Goods";"17/8/2022";"Teacher";"4";"1889";"1";"4";"1"
"57";"46";"Male";"East";"Platinum";"33";"8201.01";"Home Goods";"4/12/2022";"Chef";"3";"3671";"1";"4.6";"0"
"58";"52";"Female";"North";"Platinum";"77";"7562.34";"Electronics";"27/7/2023";"Doctor";"12";"4462";"0";"3.6";"1"
"59";"18";"Male";"South";"Gold";"56";"8071";"Home Goods";"21/7/2023";"Doctor";"6";"2994";"1";"2.5";"0"
"60";"18";"Female";"South";"Gold";"66";"2975.74";"Clothing";"18/1/2022";"Lawyer";"6";"2908";"0";"4.7";"0"
"61";"54";"Male";"West";"Bronze";"13";"7881.24";"Clothing";"30/3/2023";"Engineer";"1";"1007";"1";"4.3";"0"
"62";"23";"Male";"East";"Silver";"26";"4261.51";"Home Goods";"26/11/2022";"Teacher";"9";"2794";"1";"1.3";"0"
"63";"56";"Male";"West";"Platinum";"65";"5008.85";"Home Goods";"1/6/2022";"Teacher";"13";"4078";"1";"2";"1"
"64";"58";"Male";"East";"Silver";"70";"3044.89";"Home Goods";"5/7/2022";"Teacher";"4";"2403";"1";"3";"0"
"65";"35";"Female";"South";"Silver";"77";"2669.22";"Electronics";"22/9/2022";"Teacher";"12";"3994";"1";"1.2";"0"
"66";"33";"Male";"West";"Gold";"31";"530.09";"Clothing";"6/3/2022";"Artist";"6";"655";"1";"3.4";"0"
"67";"22";"Female";"East";"Bronze";"41";"4580.83";"Electronics";"27/10/2022";"Lawyer";"6";"1961";"1";"3.3";"0"
"69";"60";"Female";"West";"Gold";"29";"7431.33";"Clothing";"18/3/2022";"Chef";"3";"1917";"0";"4";"0"
"70";"49";"Female";"South";"Platinum";"29";"6468.32";"Home Goods";"1/8/2023";"Engineer";"9";"2290";"1";"2.6";"1"
"71";"19";"Female";"West";"Platinum";"12";"3075.09";"Clothing";"3/11/2023";"Teacher";"11";"2155";"1";"1.2";"1"
"73";"57";"Male";"North";"Platinum";"66";"2242.83";"Clothing";"11/9/2022";"Artist";"12";"1644";"0";"2.8";"1"
"74";"59";"Male";"South";"Gold";"1";"526.94";"Home Goods";"29/9/2022";"Chef";"4";"4161";"0";"4.8";"1"
"75";"53";"Male";"South";"Silver";"51";"9061.43";"Home Goods";"7/4/2022";"Teacher";"3";"104";"0";"3.4";"1"
"76";"56";"Female";"North";"Silver";"28";"4203.76";"Electronics";"18/8/2023";"Lawyer";"5";"4777";"1";"2.7";"1"
"77";"29";"Female";"East";"Silver";"57";"6006.73";"Home Goods";"1/1/2023";"Teacher";"10";"1169";"1";"2.9";"1"
"78";"64";"Male";"South";"Silver";"80";"3356.33";"Home Goods";"4/1/2022";"Doctor";"10";"1383";"1";"3";"0"
"79";"36";"Male";"North";"Silver";"53";"5296.41";"Clothing";"24/9/2023";"Engineer";"6";"1355";"1";"4.6";"0"
"80";"45";"Male";"North";"Platinum";"17";"5525.28";"Home Goods";"18/1/2022";"Manager";"4";"715";"0";"1.2";"0"
"81";"18";"Male";"East";"Gold";"91";"7227.3";"Home Goods";"23/8/2022";"Manager";"12";"943";"1";"4.1";"1"
"82";"32";"Female";"West";"Silver";"78";"4903.59";"Home Goods";"7/5/2022";"Artist";"6";"4817";"1";"3.2";"0"
"83";"53";"Female";"West";"Gold";"26";"3035.76";"Home Goods";"20/8/2022";"Chef";"4";"4460";"0";"1.2";"0"
"84";"30";"Male";"West";"Gold";"24";"3341.81";"Home Goods";"11/9/2022";"Engineer";"12";"1509";"1";"5";"0"
"85";"60";"Male";"East";"Silver";"61";"9276.98";"Home Goods";"29/1/2022";"Teacher";"7";"627";"0";"3.1";"1"
"86";"38";"Female";"South";"Platinum";"72";"7795.82";"Electronics";"27/4/2023";"Teacher";"3";"2164";"1";"1.5";"0"
"87";"29";"Male";"North";"Silver";"20";"3357.57";"Electronics";"3/7/2022";"Teacher";"12";"4797";"1";"2.3";"0"
"88";"22";"Male";"South";"Gold";"66";"6720.28";"Clothing";"19/5/2022";"Artist";"7";"1093";"1";"4.8";"0"
"89";"24";"Male";"West";"Platinum";"63";"7716.22";"Electronics";"17/12/2022";"Lawyer";"11";"3905";"0";"3.2";"0"
"91";"65";"Female";"North";"Silver";"69";"7052.64";"Clothing";"9/10/2023";"Teacher";"13";"4226";"1";"3.4";"0"
"92";"21";"Male";"North";"Gold";"16";"5890.74";"Home Goods";"22/5/2022";"Engineer";"1";"1336";"1";"2.9";"0"
"93";"30";"Male";"South";"Silver";"22";"5326.49";"Clothing";"29/3/2022";"Chef";"4";"2608";"1";"3.7";"1"
"94";"54";"Male";"South";"Bronze";"20";"4189.65";"Home Goods";"15/7/2023";"Teacher";"14";"2121";"0";"4.8";"0"
"95";"58";"Male";"West";"Silver";"29";"9925.22";"Clothing";"4/9/2023";"Manager";"1";"1478";"1";"3.6";"0"
"97";"33";"Male";"North";"Silver";"11";"1127.82";"Home Goods";"15/2/2023";"Doctor";"5";"2113";"0";"3.8";"1"
"98";"38";"Male";"West";"Bronze";"25";"3374.76";"Electronics";"24/9/2023";"Engineer";"1";"2219";"0";"2.7";"0"
"99";"53";"Male";"West";"Bronze";"26";"5369.87";"Home Goods";"15/6/2022";"Lawyer";"13";"93";"0";"3.5";"0"
"101";"33";"Male";"West";"Silver";"8";"7122.55";"Home Goods";"14/3/2023";"Doctor";"14";"2142";"1";"4.8";"1"
"102";"31";"Male";"South";"Bronze";"21";"3375.37";"Electronics";"15/10/2022";"Engineer";"6";"3297";"1";"3.1";"1"
"103";"39";"Male";"East";"Gold";"88";"8836.77";"Electronics";"12/12/2022";"Engineer";"12";"4070";"1";"3.7";"0"
"104";"66";"Male";"West";"Bronze";"63";"5448.37";"Home Goods";"24/1/2023";"Engineer";"9";"4032";"1";"2.9";"1"
"105";"67";"Male";"North";"Silver";"63";"8573";"Clothing";"9/4/2023";"Manager";"12";"3897";"1";"3.5";"0"
"106";"23";"Male";"East";"Bronze";"79";"8907.86";"Clothing";"3/3/2022";"Chef";"1";"532";"0";"1.8";"0"
"107";"59";"Male";"West";"Platinum";"16";"6276.58";"Clothing";"4/2/2022";"Lawyer";"14";"1645";"0";"4.6";"1"
"108";"53";"Male";"South";"Platinum";"5";"1536.97";"Home Goods";"19/9/2022";"Teacher";"8";"3261";"1";"1.2";"0"
"109";"18";"Male";"West";"Bronze";"95";"6114.64";"Home Goods";"22/4/2023";"Teacher";"6";"993";"1";"3.1";"1"
"110";"49";"Male";"West";"Silver";"97";"277.81";"Home Goods";"24/7/2022";"Lawyer";"3";"3009";"1";"4.5";"0"
"111";"23";"Female";"West";"Bronze";"86";"6394.95";"Home Goods";"3/1/2023";"Lawyer";"12";"4559";"1";"2.7";"0"
"112";"48";"Male";"East";"Gold";"2";"2082.95";"Electronics";"1/6/2023";"Teacher";"14";"4257";"0";"4.8";"0"
"113";"18";"Male";"East";"Bronze";"51";"8613.44";"Electronics";"11/4/2022";"Teacher";"1";"4290";"0";"4.5";"0"
"114";"67";"Male";"West";"Bronze";"24";"955.32";"Electronics";"11/11/2023";"Manager";"12";"3457";"0";"3.4";"0"
"115";"68";"Male";"North";"Bronze";"65";"2998.34";"Home Goods";"27/11/2023";"Manager";"8";"2922";"0";"3.4";"0"
"116";"54";"Female";"North";"Bronze";"15";"128.13";"Clothing";"16/1/2023";"Engineer";"4";"2083";"1";"3.9";"0"
"117";"52";"Male";"West";"Gold";"92";"9140.56";"Electronics";"26/4/2022";"Lawyer";"7";"3595";"0";"1.3";"0"
"118";"66";"Female";"East";"Platinum";"78";"8720.3";"Home Goods";"4/5/2023";"Artist";"4";"108";"0";"3.9";"1"
"119";"47";"Male";"North";"Silver";"38";"2420.06";"Home Goods";"29/4/2023";"Doctor";"4";"2601";"1";"1.9";"0"
"122";"60";"Male";"West";"Silver";"77";"5269.81";"Home Goods";"24/10/2023";"Chef";"10";"654";"1";"2.5";"1"
"124";"66";"Male";"West";"Silver";"98";"5128.45";"Clothing";"18/5/2022";"Chef";"5";"1584";"0";"4.1";"0"
"125";"57";"Male";"West";"Platinum";"79";"6070.58";"Home Goods";"18/9/2023";"Doctor";"9";"849";"0";"3.5";"0"
"127";"27";"Male";"East";"Silver";"45";"9095.56";"Clothing";"11/6/2023";"Doctor";"5";"2918";"1";"2.5";"0"
"128";"18";"Male";"South";"Silver";"72";"7058.78";"Home Goods";"13/2/2022";"Manager";"2";"3650";"1";"1.1";"0"
"129";"28";"Male";"North";"Platinum";"28";"9030.01";"Electronics";"18/3/2022";"Teacher";"10";"1836";"1";"1.5";"1"
"130";"68";"Male";"East";"Gold";"24";"6528.54";"Home Goods";"19/1/2022";"Chef";"13";"2028";"1";"3";"0"
"132";"41";"Female";"South";"Bronze";"72";"6182.63";"Home Goods";"6/1/2023";"Chef";"5";"4822";"0";"1.5";"0"
"133";"20";"Male";"West";"Silver";"58";"3810.38";"Clothing";"16/5/2022";"Chef";"5";"3359";"1";"2.8";"0"
"134";"52";"Female";"West";"Platinum";"76";"4357.03";"Home Goods";"13/6/2022";"Artist";"1";"4480";"1";"4";"1"
"135";"53";"Male";"South";"Platinum";"58";"5743.88";"Clothing";"9/3/2023";"Artist";"7";"4490";"1";"1.7";"0"
"138";"36";"Male";"East";"Bronze";"15";"6995.78";"Clothing";"9/9/2022";"Chef";"4";"1414";"1";"4.4";"0"
"139";"64";"Male";"West";"Bronze";"94";"4929.97";"Electronics";"28/6/2023";"Engineer";"14";"2640";"0";"3.6";"0"
"140";"53";"Female";"North";"Gold";"96";"2462.14";"Electronics";"12/3/2023";"Lawyer";"14";"3764";"0";"1.7";"0"
"141";"38";"Female";"South";"Silver";"27";"4449.41";"Clothing";"20/12/2022";"Artist";"6";"378";"1";"2.4";"0"
"142";"35";"Female";"East";"Silver";"52";"419.38";"Electronics";"5/8/2022";"Engineer";"7";"210";"0";"2.5";"0"
"143";"68";"Female";"South";"Silver";"42";"4813.44";"Home Goods";"9/12/2023";"Engineer";"10";"164";"0";"4.8";"1"
"144";"45";"Male";"North";"Gold";"81";"6390.16";"Home Goods";"14/5/2023";"Lawyer";"4";"4167";"0";"4.9";"0"
"145";"32";"Female";"South";"Bronze";"42";"6525.06";"Electronics";"6/7/2023";"Teacher";"10";"1660";"1";"1.6";"1"
"147";"19";"Female";"North";"Platinum";"96";"3764.64";"Home Goods";"28/8/2023";"Manager";"6";"3813";"0";"2";"1"
"148";"54";"Female";"North";"Platinum";"27";"4887.49";"Electronics";"3/7/2022";"Manager";"4";"2050";"0";"1.2";"0"
"150";"40";"Female";"North";"Bronze";"78";"3771.58";"Electronics";"18/5/2022";"Doctor";"8";"2472";"0";"4.8";"0"
"151";"61";"Male";"East";"Silver";"10";"4611.17";"Electronics";"15/1/2022";"Artist";"8";"1377";"1";"1.6";"0"
"152";"58";"Female";"East";"Bronze";"22";"9962.35";"Electronics";"12/11/2022";"Artist";"8";"2097";"0";"3.8";"0"
"153";"29";"Female";"North";"Gold";"3";"990.72";"Home Goods";"3/4/2022";"Teacher";"10";"4476";"1";"4.6";"1"
"154";"20";"Female";"West";"Silver";"33";"133.76";"Home Goods";"24/5/2022";"Artist";"10";"1802";"1";"5";"1"
"155";"69";"Female";"East";"Silver";"69";"2158.09";"Electronics";"10/9/2022";"Chef";"7";"1960";"1";"3.3";"0"
"156";"34";"Male";"South";"Bronze";"41";"945.01";"Home Goods";"29/4/2023";"Teacher";"10";"2467";"0";"3.4";"0"
"157";"50";"Female";"North";"Silver";"7";"8934.09";"Electronics";"12/2/2023";"Chef";"11";"3956";"0";"5";"0"
"158";"18";"Female";"West";"Platinum";"66";"5051.79";"Home Goods";"22/3/2022";"Artist";"7";"4465";"1";"1.6";"0"
"159";"56";"Female";"East";"Gold";"54";"7961.53";"Home Goods";"21/9/2023";"Lawyer";"1";"2487";"1";"3.9";"0"
"160";"37";"Female";"North";"Bronze";"53";"9168.82";"Clothing";"10/12/2023";"Doctor";"5";"2467";"1";"2.3";"0"
"161";"64";"Female";"West";"Platinum";"63";"9555.6";"Clothing";"20/1/2022";"Manager";"4";"4599";"1";"3.6";"0"
"162";"60";"Female";"East";"Silver";"64";"3192.44";"Electronics";"9/4/2022";"Lawyer";"7";"2907";"1";"4.2";"0"
"164";"58";"Male";"West";"Platinum";"59";"6009.88";"Electronics";"21/10/2022";"Doctor";"4";"1392";"0";"3.1";"0"
"165";"31";"Female";"South";"Bronze";"46";"5625.92";"Electronics";"21/1/2023";"Lawyer";"11";"3404";"0";"1.3";"0"
"167";"42";"Female";"West";"Platinum";"77";"4497.27";"Home Goods";"8/7/2023";"Artist";"13";"4837";"1";"4.3";"1"
"168";"20";"Female";"South";"Platinum";"17";"9913.15";"Home Goods";"1/1/2022";"Manager";"5";"919";"0";"4.2";"1"
"169";"21";"Male";"West";"Silver";"68";"7496.35";"Electronics";"26/2/2022";"Artist";"10";"802";"0";"1.6";"0"
"170";"48";"Male";"North";"Bronze";"87";"8704.85";"Clothing";"23/2/2022";"Chef";"4";"2945";"0";"3";"0"
"171";"52";"Female";"East";"Bronze";"25";"6008.4";"Clothing";"30/8/2022";"Teacher";"12";"4280";"1";"2";"0"
"172";"61";"Male";"East";"Bronze";"6";"7387.96";"Electronics";"12/12/2023";"Teacher";"3";"1411";"1";"2.4";"0"
"173";"31";"Female";"North";"Platinum";"85";"8713.7";"Clothing";"27/2/2022";"Teacher";"10";"3496";"1";"1.5";"1"
"175";"58";"Male";"East";"Gold";"61";"5512.22";"Clothing";"24/6/2022";"Engineer";"12";"2368";"1";"2.2";"0"
"176";"26";"Male";"North";"Gold";"90";"9196.91";"Electronics";"10/12/2023";"Lawyer";"8";"1811";"0";"4.4";"0"
"177";"37";"Female";"West";"Silver";"27";"2122.67";"Home Goods";"9/12/2023";"Chef";"1";"4781";"0";"1.6";"0"
"178";"49";"Female";"East";"Platinum";"26";"2490.27";"Clothing";"12/3/2022";"Doctor";"14";"2560";"0";"2.3";"0"
"179";"26";"Female";"South";"Bronze";"95";"6462.68";"Home Goods";"29/5/2023";"Manager";"4";"2751";"0";"1.2";"1"
"180";"44";"Female";"East";"Silver";"26";"8671.33";"Electronics";"20/3/2023";"Lawyer";"12";"2487";"1";"3.4";"0"
"181";"20";"Female";"West";"Silver";"70";"1501.15";"Electronics";"12/11/2022";"Chef";"8";"4561";"1";"3";"0"
"182";"21";"Male";"North";"Gold";"28";"5891";"Home Goods";"27/7/2022";"Engineer";"9";"4249";"0";"3.8";"0"
"183";"62";"Female";"North";"Gold";"65";"8610.03";"Electronics";"25/7/2022";"Chef";"4";"3717";"0";"3.9";"0"
"184";"32";"Female";"North";"Bronze";"34";"4549.19";"Electronics";"29/5/2022";"Chef";"1";"4198";"1";"3.9";"1"
"185";"50";"Female";"South";"Silver";"3";"3497.69";"Clothing";"3/9/2022";"Teacher";"11";"1735";"0";"2.8";"0"
"186";"22";"Male";"East";"Silver";"74";"8802.87";"Electronics";"16/4/2023";"Chef";"9";"4154";"1";"4.8";"1"
"187";"21";"Female";"North";"Platinum";"79";"9349.55";"Clothing";"7/2/2022";"Teacher";"9";"3617";"0";"2.4";"0"
"188";"63";"Female";"West";"Platinum";"62";"6533.29";"Electronics";"17/9/2023";"Manager";"14";"3824";"1";"4";"0"
"189";"29";"Female";"North";"Bronze";"40";"8835.98";"Clothing";"18/10/2022";"Doctor";"14";"4374";"1";"4.5";"0"
"190";"40";"Female";"North";"Gold";"24";"3310.01";"Clothing";"23/10/2023";"Teacher";"5";"4790";"0";"3.3";"0"
"191";"31";"Female";"East";"Gold";"53";"5822.46";"Clothing";"27/6/2023";"Doctor";"8";"2428";"0";"2.5";"0"
"192";"63";"Female";"East";"Gold";"70";"7379.03";"Home Goods";"18/7/2023";"Doctor";"2";"3397";"1";"1.3";"0"
"193";"29";"Female";"East";"Gold";"35";"3921.89";"Home Goods";"18/9/2022";"Doctor";"8";"327";"0";"4.9";"0"
"194";"34";"Male";"West";"Bronze";"96";"5159.87";"Home Goods";"13/11/2023";"Doctor";"2";"3038";"1";"2.7";"0"
"195";"42";"Male";"East";"Bronze";"3";"9998.16";"Electronics";"27/3/2023";"Engineer";"3";"1881";"1";"1.4";"1"
"196";"47";"Female";"East";"Bronze";"79";"2744.23";"Clothing";"6/11/2022";"Manager";"5";"2085";"1";"3";"1"
"198";"64";"Male";"North";"Bronze";"28";"1885.23";"Home Goods";"20/3/2022";"Lawyer";"11";"333";"1";"2.5";"0"
"199";"43";"Female";"West";"Bronze";"65";"2425.86";"Home Goods";"22/4/2023";"Artist";"10";"217";"1";"4.4";"0"
"200";"34";"Female";"South";"Platinum";"86";"2703.07";"Electronics";"10/11/2022";"Chef";"3";"159";"0";"4.9";"1"
"201";"37";"Female";"West";"Platinum";"18";"4350.39";"Electronics";"28/5/2022";"Artist";"4";"3652";"1";"4.8";"0"
"202";"51";"Male";"North";"Gold";"73";"7594.28";"Home Goods";"2/11/2023";"Artist";"5";"4084";"0";"1.8";"1"
"203";"58";"Female";"South";"Gold";"9";"5410.06";"Electronics";"16/3/2023";"Engineer";"8";"4350";"1";"3.5";"0"
"204";"50";"Male";"West";"Platinum";"46";"8523.41";"Electronics";"14/1/2023";"Artist";"4";"2632";"1";"1.4";"0"
"205";"54";"Female";"North";"Silver";"14";"135.17";"Electronics";"27/9/2022";"Engineer";"9";"2176";"1";"1.2";"0"
"206";"24";"Female";"North";"Gold";"21";"9407.35";"Home Goods";"21/3/2022";"Artist";"3";"2443";"1";"4.5";"1"
"207";"39";"Female";"South";"Platinum";"22";"1788.13";"Home Goods";"24/8/2022";"Artist";"8";"4113";"1";"2.5";"0"
"208";"49";"Female";"North";"Silver";"88";"4047.7";"Home Goods";"16/6/2023";"Artist";"12";"1577";"1";"1.4";"0"
"209";"31";"Male";"South";"Gold";"2";"8384.35";"Clothing";"23/6/2023";"Lawyer";"3";"3879";"1";"1.9";"1"
"211";"42";"Male";"South";"Bronze";"57";"1255.62";"Home Goods";"30/1/2022";"Engineer";"5";"1135";"1";"1.6";"0"
"212";"33";"Male";"South";"Platinum";"76";"9146.42";"Home Goods";"6/7/2022";"Lawyer";"3";"267";"0";"3.9";"0"
"213";"59";"Female";"North";"Gold";"25";"8527.08";"Clothing";"24/12/2022";"Artist";"8";"801";"1";"1.9";"0"
"214";"36";"Female";"East";"Silver";"94";"4255.83";"Electronics";"18/12/2022";"Manager";"4";"2047";"1";"2.2";"0"
"215";"58";"Male";"North";"Bronze";"32";"3718.44";"Home Goods";"23/12/2023";"Doctor";"9";"3813";"1";"3.2";"0"
"216";"33";"Female";"North";"Bronze";"22";"7355.37";"Home Goods";"3/11/2022";"Chef";"9";"2351";"0";"3";"1"
"217";"29";"Male";"West";"Gold";"93";"5718.18";"Home Goods";"29/5/2022";"Manager";"1";"657";"1";"3.8";"0"
"219";"65";"Female";"West";"Bronze";"93";"493.69";"Clothing";"2/1/2022";"Teacher";"11";"3033";"0";"1.9";"0"
"220";"47";"Female";"West";"Silver";"66";"8009.97";"Electronics";"29/4/2023";"Artist";"7";"3114";"1";"4.2";"1"
"221";"19";"Female";"South";"Silver";"96";"4146.61";"Electronics";"25/1/2022";"Teacher";"1";"936";"1";"3.4";"0"
"222";"49";"Female";"West";"Silver";"55";"1398.19";"Clothing";"4/1/2023";"Engineer";"1";"386";"1";"2.4";"1"
"223";"62";"Female";"East";"Silver";"11";"8940.74";"Clothing";"5/2/2023";"Engineer";"4";"4370";"1";"1.2";"1"
"224";"42";"Female";"South";"Platinum";"93";"7277.25";"Clothing";"28/2/2022";"Engineer";"8";"1281";"1";"3.3";"0"
"225";"42";"Female";"West";"Bronze";"49";"3801.13";"Clothing";"14/11/2022";"Teacher";"1";"1874";"0";"2.1";"1"
"226";"21";"Female";"East";"Silver";"22";"1434.78";"Clothing";"1/12/2022";"Teacher";"11";"876";"0";"1.2";"1"
"228";"65";"Female";"South";"Platinum";"5";"6439.6";"Home Goods";"26/6/2022";"Artist";"12";"4600";"1";"1.3";"0"
"229";"21";"Female";"North";"Silver";"79";"6295.68";"Clothing";"24/4/2022";"Manager";"10";"954";"1";"2.3";"1"
"230";"60";"Female";"West";"Gold";"54";"7443.29";"Home Goods";"17/7/2023";"Lawyer";"6";"4439";"0";"4";"1"
"231";"30";"Female";"East";"Platinum";"56";"6513.1";"Electronics";"12/4/2022";"Manager";"13";"2249";"1";"2.5";"1"
