CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyWebsiteVisits
42,47,Male,East,Gold,56,6515.36,Clothing,8/1/2023,Lawyer,1
43,37,Male,South,Silver,85,2338.7,Home Goods,4/10/2022,Doctor,11
44,37,Female,East,Bronze,18,2075.17,Electronics,9/7/2022,Chef,5
45,32,Male,South,Silver,75,4684.48,Home Goods,3/9/2023,Manager,13
46,57,Male,North,Bronze,93,9049.56,,25/10/2022,Artist,14
47,50,Male,South,Bronze,71,8287.77,Electronics,23/9/2022,Chef,12
48,19,Male,South,Bronze,57,4768.92,Electronics,28/4/2022,Lawyer,3
49,27,Male,South,Bronze,29,9275.17,Home Goods,17/7/2022,Artist,2
50,50,Male,North,Bronze,17,4524.97,Clothing,10/12/2023,Chef,14
51,49,Male,South,Bronze,62,7172.97,Electronics,15/2/2022,Artist,1
52,28,Male,South,Bronze,69,4914.92,Electronics,24/6/2023,Doctor,6
53,41,Female,South,Silver,70,5488.84,Electronics,25/2/2022,Engineer,14
54,53,Male,North,Platinum,89,8234.83,Electronics,7/4/2022,Doctor,1
55,29,Male,North,Silver,45,7129.32,Home Goods,15/2/2023,Lawyer,4
56,68,Female,West,Gold,55,4233.69,Home Goods,17/8/2022,Teacher,4
57,46,Male,East,Platinum,33,8201.01,Home Goods,4/12/2022,Chef,3
58,52,Female,North,Platinum,77,7562.34,Electronics,27/7/2023,Doctor,12
59,18,Male,South,Gold,56,8071,Home Goods,21/7/2023,Doctor,6
60,18,Female,South,Gold,66,2975.74,Clothing,18/1/2022,Lawyer,6
61,54,Male,West,Bronze,13,7881.24,Clothing,30/3/2023,Engineer,1
62,23,Male,East,Silver,26,4261.51,Home Goods,26/11/2022,Teacher,9
63,56,Male,West,Platinum,65,5008.85,Home Goods,1/6/2022,Teacher,13
64,58,Male,East,Silver,70,3044.89,Home Goods,5/7/2022,Teacher,4
65,35,Female,South,Silver,77,2669.22,Electronics,22/9/2022,Teacher,12
66,33,Male,West,Gold,31,530.09,Clothing,6/3/2022,Artist,6
67,22,Female,East,Bronze,41,4580.83,Electronics,27/10/2022,Lawyer,6
68,59,Female,North,Silver,18,629.43,,2/2/2023,Lawyer,9
69,60,Female,West,Gold,29,7431.33,Clothing,18/3/2022,Chef,3
70,49,Female,South,Platinum,29,6468.32,Home Goods,1/8/2023,Engineer,9
71,19,Female,West,Platinum,12,3075.09,Clothing,3/11/2023,Teacher,11
72,-9999,Male,South,Platinum,94,834.49,Home Goods,13/9/2022,Engineer,11
73,57,Male,North,Platinum,66,2242.83,Clothing,11/9/2022,Artist,12
74,59,Male,South,Gold,1,526.94,Home Goods,29/9/2022,Chef,4
75,53,Male,South,Silver,51,9061.43,Home Goods,7/4/2022,Teacher,3
76,56,Female,North,Silver,28,4203.76,Electronics,18/8/2023,Lawyer,5
77,29,Female,East,Silver,57,6006.73,Home Goods,1/1/2023,Teacher,10
78,64,Male,South,Silver,80,3356.33,Home Goods,4/1/2022,Doctor,10
79,36,Male,North,Silver,53,5296.41,Clothing,24/9/2023,Engineer,6
80,45,Male,North,Platinum,17,5525.28,Home Goods,18/1/2022,Manager,4
81,18,Male,East,Gold,91,7227.3,Home Goods,23/8/2022,Manager,12
82,32,Female,West,Silver,78,4903.59,Home Goods,7/5/2022,Artist,6
83,53,Female,West,Gold,26,3035.76,Home Goods,20/8/2022,Chef,4
84,30,Male,West,Gold,24,3341.81,Home Goods,11/9/2022,Engineer,12
85,60,Male,East,Silver,61,9276.98,Home Goods,29/1/2022,Teacher,7
86,38,Female,South,Platinum,72,7795.82,Electronics,27/4/2023,Teacher,3
87,29,Male,North,Silver,20,3357.57,Electronics,3/7/2022,Teacher,12
88,22,Male,South,Gold,66,6720.28,Clothing,19/5/2022,Artist,7
89,24,Male,West,Platinum,63,7716.22,Electronics,17/12/2022,Lawyer,11
90,-9999,Male,West,Platinum,41,1920.51,Clothing,13/2/2023,Artist,11
91,65,Female,North,Silver,69,7052.64,Clothing,9/10/2023,Teacher,13
92,21,Male,North,Gold,16,5890.74,Home Goods,22/5/2022,Engineer,1
93,30,Male,South,Silver,22,5326.49,Clothing,29/3/2022,Chef,4
94,54,Male,South,Bronze,20,4189.65,Home Goods,15/7/2023,Teacher,14
95,58,Male,West,Silver,29,9925.22,Clothing,4/9/2023,Manager,1
96,-9999,Female,North,Platinum,98,8070.61,Electronics,10/8/2023,Lawyer,11
97,33,Male,North,Silver,11,1127.82,Home Goods,15/2/2023,Doctor,5
98,38,Male,West,Bronze,25,3374.76,Electronics,24/9/2023,Engineer,1
99,53,Male,West,Bronze,26,5369.87,Home Goods,15/6/2022,Lawyer,13
100,41,,West,Silver,54,7902.88,Home Goods,8/10/2023,Artist,3
101,33,Male,West,Silver,8,7122.55,Home Goods,14/3/2023,Doctor,14
102,31,Male,South,Bronze,21,3375.37,Electronics,15/10/2022,Engineer,6
103,39,Male,East,Gold,88,8836.77,Electronics,12/12/2022,Engineer,12
104,66,Male,West,Bronze,63,5448.37,Home Goods,24/1/2023,Engineer,9
105,67,Male,North,Silver,63,8573,Clothings,9/4/2023,Manager,12
106,23,Male,East,Bronze,79,8907.86,Clothing,3/3/2022,Chef,1
107,59,Male,West,Platinum,16,6276.58,Clothing,4/2/2022,Lawyer,14
108,53,Male,South,Platinum,5,1536.97,Home Goods,19/9/2022,Teacher,8
109,18,Male,West,Bronze,95,6114.64,Home Goods,22/4/2023,Teacher,6
110,49,Male,West,Silver,97,277.81,Home Goods,24/7/2022,Lawyer,3
111,23,Female,West,Bronze,86,6394.95,Home Goods,3/1/2023,Lawyer,12
112,48,Male,East,Gold,2,2082.95,Electronics,1/6/2023,Teacher,14
113,18,Male,East,Bronze,51,8613.44,Electronics,11/4/2022,Teacher,1
114,67,Male,West,Bronze,24,955.32,Electronics,11/11/2023,Manager,12
115,68,Male,North,Bronze,65,2998.34,Home Goods,27/11/2023,Manager,8
116,54,Female,North,Bronze,15,128.13,Clothing,16/1/2023,Engineer,4
117,52,Male,West,Gold,92,9140.56,Electronics,26/4/2022,Lawyer,7
118,66,Female,East,Platinum,78,8720.3,Home Goods,4/5/2023,Artist,4
119,47,Male,North,Silver,38,2420.06,Home Goods,29/4/2023,Doctor,4
120,-9999,Female,East,Silver,53,1289.64,Home Goods,24/2/2023,Manager,10
121,52,Female,East,?,99,5388.11,Electronic,8/8/2023,Engineer,6
122,60,Male,West,Silver,77,5269.81,Home Goods,24/10/2023,Chef,10
123,31,Female,West,Platinum,3,4704.33,,2/2/2023,Doctor,7
124,66,Male,West,Silver,98,5128.45,Clothing,18/5/2022,Chef,5
125,57,Male,West,Platinum,79,6070.58,Home Goods,18/9/2023,Doctor,9
126,39,Male,South,Silver,18,9503.3,,23/11/2023,Artist,7
127,27,Male,East,Silver,45,9095.56,Clothing,11/6/2023,Doctor,5
128,18,Male,South,Silver,72,7058.78,Home Goods,13/2/2022,Manager,2
129,28,Male,North,Platinum,28,9030.01,Electronics,18/3/2022,Teacher,10
130,68,Male,East,Gold,24,6528.54,Home Goods,19/1/2022,Chef,13
131,-9999,Male,South,?,66,7383.63,Home Goods,12/4/2023,Doctor,1
132,41,Female,South,Bronze,72,6182.63,Home Goods,6/1/2023,Chef,5
133,20,Male,West,Silver,58,3810.38,Clothing,16/5/2022,Chef,5
134,52,Female,West,Platinum,76,4357.03,Home Goods,13/6/2022,Artist,1
135,53,Male,South,Platinum,58,5743.88,Clothing,9/3/2023,Artist,7
136,48,Female,East,Silver,11,2521.4,,3/2/2023,Chef,13
137,21,Male,North,Bronze,9,862.31,,28/9/2023,Lawyer,3
138,36,Male,East,Bronze,15,6995.78,Clothing,9/9/2022,Chef,4
139,64,Male,West,Bronze,94,4929.97,Electronics,28/6/2023,Engineer,14
140,53,Female,North,Gold,96,2462.14,Electronics,12/3/2023,Lawyer,14
141,38,Female,South,Silver,27,4449.41,Clothing,20/12/2022,Artist,6
142,35,Female,East,Silver,52,419.38,Electronics,5/8/2022,Engineer,7
143,68,Female,South,Silver,42,4813.44,Home Goods,9/12/2023,Engineer,10
144,45,Male,North,Gold,81,6390.16,Home Goods,14/5/2023,Lawyer,4
145,32,Female,South,Bronze,42,6525.06,Electronics,6/7/2023,Teacher,10
146,59,Female,South,Platinum,46,2188.99,,22/12/2022,Teacher,1
147,19,Female,North,Platinum,96,3764.64,Home Goods,28/8/2023,Manager,6
148,54,Female,North,Platinum,27,4887.49,Electronics,3/7/2022,Manager,4
149,28,Female,South,Silver,70,9570.76,,5/12/2023,Artist,14
150,40,Female,North,Bronze,78,3771.58,Electronics,18/5/2022,Doctor,8
151,61,Male,East,Silver,10,4611.17,Electronics,15/1/2022,Artist,8
152,58,Female,East,Bronze,22,9962.35,Electronics,12/11/2022,Artist,8
153,29,Female,North,Gold,3,990.72,Home Goods,3/4/2022,Teacher,10
154,20,Female,West,Silver,33,133.76,Home Goods,24/5/2022,Artist,10
155,69,Female,East,Silver,69,2158.09,Electronics,10/9/2022,Chef,7
156,34,Male,South,Bronze,41,945.01,Home Goods,29/4/2023,Teacher,10
157,50,Female,North,Silver,7,8934.09,Electronics,12/2/2023,Chef,11
158,18,Female,West,Platinum,66,5051.79,Home Goods,22/3/2022,Artist,7
159,56,Female,East,Gold,54,7961.53,Home Goods,21/9/2023,Lawyer,1
160,37,Female,North,Bronze,53,9168.82,Clothing,10/12/2023,Doctor,5
161,64,Female,West,Platinum,63,9555.6,Clothing,20/1/2022,Manager,4
162,60,Female,East,Silver,64,3192.44,Electronics,9/4/2022,Lawyer,7
163,69,Female,North,Bronze,77,2531.83,,23/11/2023,Chef,9
164,58,Male,West,Platinum,59,6009.88,Electronics,21/10/2022,Doctor,4
165,31,Female,South,Bronze,46,5625.92,Electronics,21/1/2023,Lawyer,11
166,-9999,Female,West,Platinum,87,9005.7,Home Goods,19/8/2023,Doctor,6
167,42,Female,West,Platinum,77,4497.27,Home Goods,8/7/2023,Artist,13
168,20,Female,South,Platinum,17,9913.15,Home Goods,1/1/2022,Manager,5
169,21,Male,West,Silver,68,7496.35,Electronics,26/2/2022,Artist,10
170,48,Male,North,Bronze,87,8704.85,Clothing,23/2/2022,Chef,4
171,52,Female,East,Bronze,25,6008.4,Clothing,30/8/2022,Teacher,12
172,61,Male,East,Bronze,6,7387.96,Electronics,12/12/2023,Teacher,3
173,31,Female,North,Platinum,85,8713.7,Clothing,27/2/2022,Teacher,10
174,66,,East,Gold,11,7932.29,Clothing,20/9/2022,Engineer,2
175,58,Male,East,Gold,61,5512.22,Clothing,24/6/2022,Engineer,12
176,26,Male,North,Gold,90,9196.91,Electronics,10/12/2023,Lawyer,8
177,37,Female,West,Silver,27,2122.67,Home Goods,9/12/2023,Chef,1
178,49,Female,East,Platinum,26,2490.27,Clothing,12/3/2022,Doctor,14
179,26,Female,South,Bronze,95,6462.68,Home Goods,29/5/2023,Manager,4
180,44,Female,East,Silver,26,8671.33,Electronics,20/3/2023,Lawyer,12
181,20,Female,West,Silver,70,1501.15,Electronics,12/11/2022,Chef,8
182,21,Male,North,Gold,28,5891,Home Goods,27/7/2022,Engineer,9
183,62,Female,North,Gold,65,8610.03,Electronics,25/7/2022,Chef,4
184,32,Female,North,Bronze,34,4549.19,Electronics,29/5/2022,Chef,1
185,50,Female,South,Silver,3,3497.69,Clothing,3/9/2022,Teacher,11
186,22,Male,East,Silver,74,8802.87,Electronics,16/4/2023,Chef,9
187,21,Female,North,Platinum,79,9349.55,Clothing,7/2/2022,Teacher,9
188,63,Female,West,Platinum,62,6533.29,Electronics,17/9/2023,Manager,14
189,29,Female,North,Bronze,40,8835.98,Clothing,18/10/2022,Doctor,14
190,40,Female,North,Gold,24,3310.01,Clothing,23/10/2023,Teacher,5
191,31,Female,East,Gold,53,5822.46,Clothing,27/6/2023,Doctor,8
192,63,Female,East,Gold,70,7379.03,Home Goods,18/7/2023,Doctor,2
193,29,Female,East,Gold,35,3921.89,Home Goods,18/9/2022,Doctor,8
194,34,Male,West,Bronze,96,5159.87,Home Goods,13/11/2023,Doctor,2
195,42,Male,East,Bronze,3,9998.16,Electronics,27/3/2023,Engineer,3
196,47,Female,East,Bronze,79,2744.23,Clothing,6/11/2022,Manager,5
197,-9999,Female,East,Platinum,28,2188.17,Clothings,10/8/2023,Chef,8
198,64,Male,North,Bronze,28,1885.23,Home Goods,20/3/2022,Lawyer,11
199,43,Female,West,Bronze,65,2425.86,Home Goods,22/4/2023,Artist,10
200,34,Female,South,Platinum,86,2703.07,Electronics,10/11/2022,Chef,3
201,37,Female,West,Platinum,18,4350.39,Electronics,28/5/2022,Artist,4
202,51,Male,North,Gold,73,7594.28,Home Goods,2/11/2023,Artist,5
203,58,Female,South,Gold,9,5410.06,Electronics,16/3/2023,Engineer,8
204,50,Male,West,Platinum,46,8523.41,Electronics,14/1/2023,Artist,4
205,54,Female,North,Silver,14,135.17,Electronics,27/9/2022,Engineer,9
206,24,Female,North,Gold,21,9407.35,Home Goods,21/3/2022,Artist,3
207,39,Female,South,Platinum,22,1788.13,Home Goods,24/8/2022,Artist,8
208,49,Female,North,Silver,88,4047.7,Home Goods,16/6/2023,Artist,12
209,31,Male,South,Gold,2,8384.35,Clothing,23/6/2023,Lawyer,3
210,-9999,Female,West,Gold,39,6488.8,Home Goods,2/11/2022,Teacher,8
211,42,Male,South,Bronze,57,1255.62,Home Goods,30/1/2022,Engineer,5
212,33,Male,South,Platinum,76,9146.42,Home Goods,6/7/2022,Lawyer,3
213,59,Female,North,Gold,25,8527.08,Clothing,24/12/2022,Artist,8
214,36,Female,East,Silver,94,4255.83,Electronics,18/12/2022,Manager,4
215,58,Male,North,Bronze,32,3718.44,Home Goods,23/12/2023,Doctor,9
216,33,Female,North,Bronze,22,7355.37,Home Goods,3/11/2022,Chef,9
217,29,Male,West,Gold,93,5718.18,Home Goods,29/5/2022,Manager,1
218,-9999,Female,South,Platinum,77,273.59,,6/4/2023,Artist,12
219,65,Female,West,Bronze,93,493.69,Clothing,2/1/2022,Teacher,11
220,47,Female,West,Silver,66,8009.97,Electronics,29/4/2023,Artist,7
221,19,Female,South,Silver,96,4146.61,Electronics,25/1/2022,Teacher,1
222,49,Female,West,Silver,55,1398.19,Clothing,4/1/2023,Engineer,1
223,62,Female,East,Silver,11,8940.74,Clothing,5/2/2023,Engineer,4
224,42,Female,South,Platinum,93,7277.25,Clothing,28/2/2022,Engineer,8
225,42,Female,West,Bronze,49,3801.13,Clothing,14/11/2022,Teacher,1
226,21,Female,East,Silver,22,1434.78,Clothing,1/12/2022,Teacher,11
227,-9999,Female,North,Silver,76,597.57,Clothings,6/8/2023,Lawyer,9
228,65,Female,South,Platinum,5,6439.6,Home Goods,26/6/2022,Artist,12
229,21,Female,North,Silver,79,6295.68,Clothing,24/4/2022,Manager,10
230,60,Female,West,Gold,54,7443.29,Home Goods,17/7/2023,Lawyer,6
231,30,Female,East,Platinum,56,6513.1,Electronics,12/4/2022,Manager,13
232,56,Male,East,?,43,4550.5,Electronic,5/9/2022,Doctor,5
233,53,Female,East,Platinum,96,1240.77,Electronics,12/11/2023,Engineer,11
234,40,Female,North,Bronze,44,3774.6,Home Goods,15/5/2023,Engineer,1
235,23,,East,Platinum,73,6123.84,Electronics,3/5/2023,Lawyer,10
236,41,Female,East,Silver,23,5297.91,Clothing,27/4/2023,Lawyer,10
237,61,Female,North,Bronze,40,2992.17,Home Goods,15/9/2023,Lawyer,5
238,50,Female,North,Gold,41,2434,Electronics,15/5/2022,Artist,13
239,29,Male,East,Gold,35,3117.9,Electronics,14/5/2022,Teacher,11
240,58,Male,West,Bronze,36,749.05,Clothings,7/12/2022,Engineer,8
241,38,,West,?,53,6894.97,Electronic,6/10/2023,Manager,12
242,28,Female,South,Gold,96,3583.58,Home Goods,6/12/2023,Teacher,6
243,61,Female,East,Silver,60,3107.38,Clothing,10/6/2022,Artist,7
244,55,Female,South,Gold,37,5415.39,Electronics,4/9/2022,Engineer,10
245,46,Male,North,Silver,50,6209.88,Electronics,10/3/2022,Lawyer,11
246,65,Male,North,Gold,19,197.86,Clothing,25/6/2023,Lawyer,12
247,58,Female,North,Gold,54,7000.77,Clothing,11/2/2022,Artist,13
248,20,Male,North,Bronze,14,6981.25,Clothings,5/11/2022,Manager,10
249,45,Female,West,Gold,55,4465.91,Clothing,26/9/2022,Doctor,5
250,37,Male,North,Platinum,64,5849.63,Clothing,28/3/2023,Artist,9
251,43,Female,North,Bronze,58,5088.46,Electronics,6/1/2022,Doctor,5
252,41,Female,West,Silver,48,247.18,Home Goods,14/12/2023,Lawyer,12
253,69,Male,North,Bronze,12,1248,Clothing,11/4/2022,Manager,1
254,64,Female,South,Gold,86,6159.27,Home Goods,28/7/2022,Doctor,5
255,38,Male,East,Silver,65,2881.26,Electronics,23/3/2022,Doctor,14
256,-9999,Female,East,Bronze,42,321.51,Home Goods,19/11/2023,Chef,12
257,21,Female,North,Bronze,18,8905.66,Home Goods,6/11/2022,Chef,6
258,53,Female,North,Bronze,18,9168.08,Home Goods,19/1/2022,Chef,6
259,57,Female,North,Bronze,34,5815.95,Electronics,10/10/2022,Artist,9
260,27,Male,West,Gold,41,4672.36,Clothing,23/7/2022,Chef,7
261,27,Male,East,Silver,36,1490.63,Clothing,21/2/2023,Doctor,9
262,59,Female,South,Bronze,35,9311.32,Clothing,1/7/2023,Teacher,10
263,41,Female,West,Platinum,92,6958.7,Home Goods,22/3/2023,Artist,12
264,21,Female,West,Bronze,33,3844.5,Electronics,19/2/2022,Lawyer,12
265,64,Male,West,Bronze,25,2631.32,Electronics,1/3/2023,Artist,5
266,44,Male,South,Gold,10,3811.49,Electronics,26/5/2023,Chef,7
267,68,Female,South,Gold,92,9271.18,Electronics,28/10/2022,Manager,10
268,62,,East,Platinum,46,2243.63,Home Goods,3/5/2023,Manager,5
269,21,Female,South,Platinum,27,2326.22,Home Goods,19/11/2022,Artist,8
270,49,Female,North,Bronze,14,4245.68,Clothing,17/11/2022,Manager,1
271,27,Female,North,Bronze,37,3834.34,Electronics,21/8/2022,Lawyer,6
272,28,Male,East,Silver,43,4493.63,Electronics,12/4/2022,Doctor,6
273,45,Male,South,Platinum,25,6071.73,Home Goods,25/1/2023,Chef,8
274,63,Male,East,Silver,49,8946.69,Clothing,20/1/2022,Artist,3
275,25,Female,East,Gold,52,9393.32,Clothing,30/12/2023,Engineer,10
276,57,Female,South,Bronze,93,9410.81,Clothing,21/11/2023,Chef,6
277,39,Female,West,Gold,32,154.89,Clothing,4/2/2022,Doctor,7
278,51,Male,South,Platinum,33,8577.64,Clothing,26/8/2022,Doctor,10
279,62,Female,North,Bronze,45,5860.73,Clothing,15/6/2022,Artist,7
280,52,Female,South,Platinum,91,4071.84,Home Goods,8/2/2023,Chef,10
281,52,Female,West,Platinum,9,6452.14,Home Goods,12/9/2023,Lawyer,2
282,42,Male,South,Silver,18,5737.54,Electronics,1/1/2023,Artist,1
283,51,Female,North,Platinum,23,2128.04,Home Goods,2/8/2022,Doctor,11
284,23,Female,North,Silver,30,938.69,Electronics,11/2/2022,Manager,6
285,58,Female,West,Gold,1,2003.14,Clothing,26/6/2023,Chef,12
286,54,Male,West,Gold,7,2351.87,Home Goods,23/1/2022,Doctor,3
287,18,Male,North,Platinum,80,5941.26,Clothing,1/5/2022,Chef,8
288,29,Male,North,Gold,22,2897.97,Home Goods,31/10/2022,Lawyer,2
289,52,Female,South,Silver,83,5309.64,Home Goods,11/3/2023,Artist,6
290,23,Female,East,Bronze,68,4569.02,Electronics,9/9/2023,Manager,11
291,34,Female,East,Bronze,24,5441.17,Home Goods,22/7/2022,Chef,2
292,26,Female,West,Gold,59,1941.3,Clothing,22/6/2023,Lawyer,1
293,19,Female,West,Bronze,12,8568.23,Home Goods,16/10/2022,Chef,9
294,35,Female,East,Bronze,55,7385.12,Clothing,9/11/2023,Lawyer,5
295,66,Female,North,Platinum,65,863.95,Electronics,20/8/2022,Chef,5
296,53,Female,West,Gold,25,8914.95,Home Goods,28/8/2023,Engineer,5
297,45,Female,South,Silver,69,3520.77,Home Goods,24/10/2023,Chef,14
298,58,Female,East,Platinum,42,9705.13,Home Goods,17/11/2022,Teacher,5
299,54,Female,South,Gold,35,7679.67,Home Goods,1/7/2023,Manager,11
300,66,Female,South,Gold,67,5519.79,Electronics,18/6/2022,Doctor,4
301,43,Male,North,Gold,9,8273.4,Home Goods,3/11/2023,Teacher,7
302,21,Female,West,Bronze,36,9013.3,Home Goods,26/1/2023,Engineer,12
303,57,Female,West,Platinum,5,2245.09,Clothing,8/7/2023,Manager,4
304,53,Male,West,Gold,68,5244.8,Electronics,28/2/2022,Engineer,13
305,68,Female,North,Platinum,37,4971.58,Home Goods,10/5/2023,Manager,5
306,48,Male,South,Gold,67,7988.3,Home Goods,30/9/2022,Lawyer,3
307,47,Male,South,Silver,13,9576.52,Electronics,17/9/2023,Engineer,9
308,67,Male,South,Silver,64,5073.57,Home Goods,29/3/2023,Teacher,12
309,51,Female,South,Gold,90,5648.67,Electronics,15/4/2023,Manager,2
310,-9999,Male,West,Platinum,25,4289.86,Clothing,13/2/2023,Doctor,14
311,35,Male,West,Silver,34,5032.01,Electronics,21/8/2022,Doctor,11
312,47,Female,South,Gold,48,5381.03,Electronics,18/4/2023,Engineer,6
313,38,Female,South,Silver,49,7605.5,,22/11/2022,Lawyer,3
314,20,Male,North,Gold,45,9845.18,Electronics,5/8/2023,Doctor,9
315,23,Male,West,Platinum,57,8274.47,Clothing,20/12/2022,Teacher,10
316,55,Male,West,Silver,10,9516.44,Electronics,15/10/2022,Teacher,9
317,30,Female,South,Bronze,48,1551.48,Clothing,9/11/2022,Artist,9
318,62,Male,West,Silver,5,1749.36,Home Goods,6/3/2022,Chef,11
319,20,Male,West,Silver,76,4028.86,Clothing,7/9/2023,Teacher,10
320,65,Female,South,Gold,27,4293.31,Electronics,15/7/2023,Artist,14
321,45,Female,East,Platinum,10,9602.86,Electronics,15/6/2023,Artist,11
322,39,Male,East,Silver,90,7660.55,Clothing,11/1/2023,Lawyer,1
323,57,Female,East,Platinum,74,9522.83,Clothing,30/12/2023,Teacher,8
324,57,Female,West,Silver,29,3490.05,Electronics,14/9/2023,Teacher,10
325,29,Male,North,Bronze,90,5945.71,Electronics,15/8/2023,Teacher,9
326,-9999,Female,West,Gold,69,8838.62,Electronics,13/7/2022,Engineer,14
327,48,Female,South,Bronze,31,3386.25,Electronics,20/2/2023,Lawyer,3
328,35,Male,North,Platinum,48,1818.73,Clothing,11/3/2022,Engineer,3
329,24,Female,South,Gold,34,2699.86,Electronics,27/8/2022,Artist,7
330,25,Male,North,Gold,94,2726.01,Clothing,24/11/2022,Teacher,13
331,36,Female,North,Gold,94,9006.66,Home Goods,12/6/2022,Chef,6
332,46,Male,North,Silver,85,7839.92,Electronics,28/10/2023,Manager,10
333,61,Male,North,Gold,54,5535.95,,26/11/2023,Lawyer,2
334,37,Female,East,Bronze,81,5509.52,Electronics,26/4/2023,Artist,6
335,67,Male,North,Silver,96,1700.85,Electronics,26/9/2023,Lawyer,14
336,59,Male,North,Gold,39,3377.89,Electronics,11/7/2022,Doctor,10
337,47,Male,South,Gold,66,2160.31,Electronics,27/12/2023,Doctor,9
338,64,Male,South,?,66,4234.89,Clothings,5/4/2023,Artist,4
339,-9999,Male,East,Silver,31,5734.89,Home Goods,24/2/2023,Teacher,5
340,27,Female,North,Platinum,42,1763.44,Clothing,25/9/2023,Lawyer,8
341,43,Male,South,Platinum,38,8206.28,Clothing,24/9/2022,Artist,1
342,68,Male,North,Bronze,43,4805.88,Electronics,27/7/2023,Chef,1
343,50,Male,North,Bronze,2,2193.6,Electronics,25/2/2022,Chef,8
344,45,Male,West,Silver,63,6265.83,Home Goods,19/4/2022,Engineer,12
345,27,Male,North,Silver,6,425.08,Home Goods,28/6/2023,Manager,11
346,46,Male,South,Silver,15,4629.83,Clothing,19/10/2022,Engineer,9
347,61,Male,West,Silver,10,733.61,Home Goods,22/5/2022,Engineer,14
348,35,Male,West,Platinum,86,7051.43,Home Goods,1/9/2022,Engineer,9
349,59,Female,South,Silver,68,5408.61,Clothing,9/4/2022,Chef,10
350,18,Male,North,Platinum,31,6183.95,Clothing,10/5/2023,Engineer,12
351,40,Male,North,Gold,24,926.03,Clothing,15/12/2022,Engineer,5
352,34,Female,North,Bronze,82,2335.52,Home Goods,16/8/2022,Engineer,13
